Session_Length,Session_Margin
0-10,0.7076656677536698
11-20,0.3945609564735232
21-30,0.34849262884124227
31-40,-1.1556414715966088
41-50,0.32796184534657713
51-60,0.20130445792796348
61-70,0.13173800111716988
71-80,0.23478733275225097
81-90,0.252946910599271
91-100,0.3243571156701758
101-110,0.4390026111683719
111-120,0.14866974499188892
121-130,-0.05823856070170198
131-140,0.18879997550895644
141-150,0.21578387058552234
151-160,0.10854299232570302
161-170,0.1957717988952856
171-180,
181-190,0.16701138671437538
191-200,1.0
201-210,0.03466866310089543
211-220,0.13482108343998225
221-230,
231-240,0.43645794596765397
241-250,0.09023166177533123
251-260,0.2547357131032879
261-270,-0.0013427670854152252
271-280,0.12645611945395294
281-290,
291-300,0.17874538752864236
301-310,
311-320,0.181437149720516
321-330,0.23493970996851088
331-340,0.003873070563052718
341-350,
351-360,0.14538636565823762
361-370,0.0020416443238291076
371-380,0.19166560065463112
381-390,0.0009674665746234193
391-400,-0.06284914866579175
401-410,0.15049147350103664
411-420,0.27515180169494124
421-430,
431-440,0.0630530389222159
441-450,0.13611017464593872
451-460,0.04146270871146979
461-470,
471-480,0.15285879132028382
481-490,0.0
491-500,0.044348167886651364
501-510,0.07465317358615367
511-520,-0.012663372819723566
521-530,0.20555720012398335
531-540,0.1640765326759012
541-550,0.02698093857760481
551-560,0.15233808814533978
561-570,0.0002995679567466152
571-580,0.8823529349891375
581-590,
591-600,
601-610,
611-620,
621-630,0.07758600061969616
631-640,0.08638034973631907
641-650,
651-660,0.14546171363035165
661-670,0.8291484540955956
671-680,0.0565435002348472
681-690,0.2501347362337697
691-700,
701-710,
711-720,
721-730,0.12981531303376825
731-740,0.057649735276993096
741-750,0.05629569108402591
751-760,
761-770,
771-780,
781-790,0.19775337102144241
791-800,
801-810,0.06055964679265678
811-820,-0.42857144377669504
821-830,0.25586062937725895
831-840,0.05483329069868446
841-850,-0.2687834781995213
851-860,
861-870,0.04452308957418317
871-880,0.06026343169649883
881-890,0.223497116324033
891-900,0.10781326414462825
901-910,
911-920,
921-930,0.030750326675730348
931-940,0.08382677412621713
941-950,0.18335122545544288
951-960,0.05556338003319329
961-970,-0.004568794166131635
971-980,-0.1887918521092394
981-990,1.0
991-1000,0.040796911002726956
1001-1010,
1011-1020,0.3365636749644437
1021-1030,-0.00972473282102799
1031-1040,-0.16143106464395401
1041-1050,
1051-1060,0.9949999900348487
1061-1070,
1071-1080,0.005132297601311259
1081-1090,
1091-1100,
1101-1110,-0.008961254142201999
1111-1120,0.01442524846723603
1121-1130,0.13390118031556283
1131-1140,0.13925062086952583
1141-1150,0.4586270743620804
1151-1160,0.17714972412472052
1161-1170,
1171-1180,
1181-1190,0.10549645821816533
1191-1200,
1201-1210,0.22899001047689904
1211-1220,-1.454263215026247
1221-1230,
1231-1240,
1241-1250,0.13535800883798643
1251-1260,0.10463494691476682
1261-1270,0.14454563336520582
1271-1280,-0.07765424609049067
1281-1290,
1291-1300,
1301-1310,0.08370026828363485
1311-1320,0.0629128731362877
1321-1330,
1331-1340,0.22188034139127813
1341-1350,0.21088306120944553
1351-1360,0.17338058734017403
1361-1370,0.2879774618838564
1371-1380,
1381-1390,0.12117342210082434
1391-1400,
1401-1410,0.12155848388566391
1411-1420,0.3502368248259977
1421-1430,1.0
1431-1440,0.16179272847302262
1441-1450,0.29913303394132307
1451-1460,0.4846143199816221
1461-1470,-0.13708396387325464
1471-1480,
1481-1490,0.5799180268800825
1491-1500,
1501-1510,0.08067054798329451
1511-1520,
1521-1530,0.22938428647017695
1531-1540,0.04423686285638266
1541-1550,
1551-1560,0.0005725554148572581
1561-1570,0.09010165072831221
1571-1580,-0.1711512146868331
1581-1590,
1591-1600,-0.07361027029902759
1601-1610,0.017825742388091616
1611-1620,0.0702535989810872
1621-1630,0.17774997842513252
1631-1640,0.05424351042627142
1641-1650,-4.26708083353722e-05
1651-1660,0.042305901160350476
1661-1670,0.2934225179239072
1671-1680,0.09107377641526984
1681-1690,0.04951306221763228
1691-1700,0.03740459108378755
1701-1710,-0.0652726480461791
1711-1720,0.12318488116158297
1721-1730,0.15886919251325332
1731-1740,0.04940625740254143
1741-1750,
1751-1760,0.11829404904069213
1761-1770,0.04613807289717294
1771-1780,0.025930932922230924
1781-1790,0.05160607973693366
1791-1800,0.08820397884240448
1801-1810,0.03891256006499718
1811-1820,0.04934056118854373
1821-1830,0.047232919400064584
1831-1840,
1841-1850,0.015927241267573056
1851-1860,
1861-1870,
1871-1880,0.09336689527614028
1881-1890,
1891-1900,
1901-1910,0.10145846519208979
1911-1920,-0.011053306091748049
1921-1930,0.005400405117674319
1931-1940,0.04137840573461909
1941-1950,
1951-1960,
1961-1970,0.027429905683989134
1971-1980,-0.021770885658019185
1981-1990,0.06566267681113427
1991-2000,
2001-2010,0.1329579755765306
